date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:51	3504/3504	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jan%202022%2008:31:51%20GMT	https://ngytvn.net/index.php?id=f2I4bvZZ5P	C:/My%20Web%20Sites/demo1/ngytvn.net/index3500.html	(from )
15:31:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Jan%202022%2008:31:51%20GMT	https://ngytvn.net/robots.txt		(from )
15:31:55	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/demo1/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:31:55	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/demo1/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:31:56	4822/4822	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Nov%202021%2011:11:30%20GMT	https://ngytvn.net/views/style.css	C:/My%20Web%20Sites/demo1/ngytvn.net/views/style.css	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:31:57	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/My%20Web%20Sites/demo1/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:31:57	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/demo1/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:07	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/demo1/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:07	9454/9454	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Nov%202021%2008:00:06%20GMT	https://ngytvn.net/views/sun.svg	C:/My%20Web%20Sites/demo1/ngytvn.net/views/sun.svg	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:09	9468/9468	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Nov%202021%2011:44:32%20GMT	https://ngytvn.net/views/bee.svg	C:/My%20Web%20Sites/demo1/ngytvn.net/views/bee.svg	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:09	24699/24699	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Nov%202021%2010:54:48%20GMT	https://ngytvn.net/views/hearts.svg	C:/My%20Web%20Sites/demo1/ngytvn.net/views/hearts.svg	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:09	102521/102521	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2010:25:10%20GMT	https://ngytvn.net/views/letter.png	C:/My%20Web%20Sites/demo1/ngytvn.net/views/letter.png	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:09	45687/45687	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2012:05:30%20GMT	https://ngytvn.net/random/1.png	C:/My%20Web%20Sites/demo1/ngytvn.net/random/1.png	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:10	48581/48581	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2012:19:36%20GMT	https://ngytvn.net/views/6009247.png	C:/My%20Web%20Sites/demo1/ngytvn.net/views/6009247.png	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:10	5310/5310	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Nov%202021%2013:08:54%20GMT	https://ngytvn.net/views/script.js	C:/My%20Web%20Sites/demo1/ngytvn.net/views/script.js	(from https://ngytvn.net/index.php?id=f2I4bvZZ5P)
15:32:21	390856/390856	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2007:13:48%20GMT	https://ngytvn.net/views/flower.png	C:/My%20Web%20Sites/demo1/ngytvn.net/views/flower.png	(from https://ngytvn.net/views/style.css)
15:32:21	67783/67783	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Nov%202021%2009:27:34%20GMT	https://ngytvn.net/views/hearts.png	C:/My%20Web%20Sites/demo1/ngytvn.net/views/hearts.png	(from https://ngytvn.net/views/style.css)
15:32:21	38421/38421	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2022%20Nov%202021%2011:20:14%20GMT	https://ngytvn.net/views/bears.svg	C:/My%20Web%20Sites/demo1/ngytvn.net/views/bears.svg	(from https://ngytvn.net/views/style.css)
